Type	R2_Big	R4_Big	R7_Big	R2_Small	R4_Small	R7_Small
"K03336_iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) "	1.953535462	1.751259853	1.802794828	2.704500808	3.743059822	3.898174008
K03337_iolB; 5-deoxy-glucuronate isomerase 	1.937174503	1.747139803	1.780449333	2.694120271	3.735068888	3.906552541
K03338_iolC; 5-dehydro-2-deoxygluconokinase	1.938339452	1.745065028	1.79311394	2.707992891	3.717636782	3.864698594
K03738_aor; aldehyde:ferredoxin oxidoreductase	0.740362689	0.875061263	0	0.740362689	1.635785236	2.633902533
"K03841_FBP, fbp; fructose-1,6-bisphosphatase I "	5.188984924	4.953348101	5.011020991	4.39733507	4.373789192	4.487528357
"K05774_phnN; ribose 1,5-bisphosphokinase "	5.1889388	4.953384897	5.010976657	4.393940696	4.345997685	4.412433886
K06151_E1.1.99.3A; gluconate 2-dehydrogenase alpha chain 	1.790285164	1.685562611	1.578065884	1.980957316	2.925041785	3.042968422
K06152_E1.1.99.3G; gluconate 2-dehydrogenase gamma chain 	1.790285164	1.648360011	1.578065884	1.980957316	2.928165728	3.045056861
K07404_pgl; 6-phosphogluconolactonase 	5.188808298	4.953155607	5.010853922	4.394593104	4.345909235	4.454778631
"K11532_glpX-SEBP; fructose-1,6-bisphosphatase II "	5.485812657	5.250177701	5.30784394	4.689861907	4.644807213	4.719512377
